energy#1, (U= 1500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
 316   0.21092648E+02     -0.28979825E-02       0.15794208E+00        0.21432712E+06      0.41227170E-07      0.56621374E-12       0       0
 318   0.21226146E+02     -0.27963360E-02       0.15224776E+00        0.21426003E+06      0.35553920E-07      0.11324275E-11       0       0
 320   0.21359643E+02     -0.26997036E-02       0.14675172E+00        0.21419295E+06      0.30699671E-07      0.14876989E-11       0       0
 322   0.21493141E+02     -0.26077394E-02       0.14144428E+00        0.21412587E+06      0.26545702E-07      0.77715612E-12       0       0
 324   0.21626639E+02     -0.25201060E-02       0.13631643E+00        0.21405879E+06      0.22985244E-07      0.66613381E-12       0       0
 326   0.21760137E+02     -0.24364717E-02       0.13135986E+00        0.21399171E+06      0.19935616E-07      0.11324275E-11       0       0
 328   0.21893634E+02     -0.23565059E-02       0.12656688E+00        0.21392462E+06      0.17311981E-07      0.51070259E-12       0       0
 330   0.22027132E+02     -0.22798704E-02       0.12193050E+00        0.21385754E+06      0.15049412E-07      0.86597396E-12       0       0
 332   0.22160630E+02     -0.22061980E-02       0.11744443E+00        0.21379046E+06      0.13090192E-07      0.77715612E-12       0       0
 334   0.22294128E+02     -0.21349900E-02       0.11310325E+00        0.21372338E+06      0.11396591E-07      0.74384943E-12       0       0
 336   0.22427626E+02     -0.20658756E-02       0.10890238E+00        0.21365630E+06      0.99236568E-08      0.73274720E-12       0       0
 338   0.22561123E+02     -0.19988139E-02       0.10483769E+00        0.21358921E+06      0.86442072E-08      0.58841820E-12       0       0
 340   0.22694621E+02     -0.19337794E-02       0.10090510E+00        0.21352213E+06      0.75314387E-08      0.64392935E-12       0       0
 342   0.22828119E+02     -0.18707525E-02       0.97100565E-01        0.21345505E+06      0.65632566E-08      0.79936058E-12       0       0
 344   0.22961617E+02     -0.18097207E-02       0.93420091E-01        0.21338797E+06      0.57217162E-08      0.69944051E-12       0       0
 346   0.23095114E+02     -0.17506819E-02       0.89859689E-01        0.21329852E+06      0.50252952E-08      0.46629367E-12       0       0
 348   0.23228612E+02     -0.16936504E-02       0.86415357E-01        0.21323144E+06      0.43539893E-08      0.66613381E-12       0       0
 350   0.23362110E+02     -0.16386710E-02       0.83083035E-01        0.21316436E+06      0.38008729E-08      0.51070259E-12       0       0
 352   0.23495608E+02     -0.15858875E-02       0.79858477E-01        0.21309728E+06      0.54292691E-08      0.42188475E-12       0       0
 354   0.23629106E+02     -0.15353945E-02       0.76737195E-01        0.21303020E+06      0.29040259E-08      0.64392935E-12       0       0
 356   0.23762603E+02     -0.14870617E-02       0.73714738E-01        0.21294075E+06      0.39426293E-08      0.46629367E-12       0       0
 358   0.23896101E+02     -0.14407513E-02       0.70786925E-01        0.21287367E+06      0.26346253E-08      0.57731597E-12       0       0
 360   0.24029599E+02     -0.13963287E-02       0.67949845E-01        0.21280659E+06      0.39785570E-08      0.11102230E-11       0       0
 362   0.24163097E+02     -0.13536608E-02       0.65199856E-01        0.21273951E+06      0.17235646E-08      0.84376950E-12       0       0
 364   0.24296594E+02     -0.13126141E-02       0.62533581E-01        0.21265006E+06      0.15186841E-08      0.99920072E-12       0       0
 366   0.24430092E+02     -0.12730517E-02       0.59947915E-01        0.21258298E+06      0.17554058E-08      0.43298698E-12       0       0
 368   0.24563590E+02     -0.12348241E-02       0.57440039E-01        0.21251590E+06      0.11810324E-08      0.83266727E-12       0       0
 370   0.24697088E+02     -0.11977308E-02       0.55007484E-01        0.21242646E+06      0.10419918E-08      0.68833828E-12       0       0
 372   0.24830585E+02     -0.11615789E-02       0.52648174E-01        0.21235938E+06      0.30837278E-08      0.33306691E-12       0       0
 374   0.24964083E+02     -0.11263515E-02       0.50360244E-01        0.21226993E+06      0.11187459E-08      0.54400928E-12       0       0
 376   0.25097581E+02     -0.10920489E-02       0.48141844E-01        0.21220285E+06      0.71409932E-09      0.88817842E-12       0       0
 378   0.25231079E+02     -0.10586739E-02       0.45991121E-01        0.21213577E+06      0.62923586E-09      0.58841820E-12       0       0
 380   0.25364577E+02     -0.10262326E-02       0.43906214E-01        0.21204633E+06      0.12426970E-08      0.55511151E-12       0       0
 382   0.25498074E+02     -0.99473575E-03       0.41885246E-01        0.21197924E+06      0.86119852E-09      0.96589403E-12       0       0
 384   0.25631572E+02     -0.96420193E-03       0.39926308E-01        0.21188980E+06      0.64006112E-09      0.59952043E-12       0       0
 386   0.25765070E+02     -0.93466365E-03       0.38027443E-01        0.21182272E+06      0.74752692E-09      0.54400928E-12       0       0
 388   0.25898568E+02     -0.90619686E-03       0.36186582E-01        0.21173328E+06      0.10810795E-08      0.79936058E-12       0       0
 390   0.26032065E+02     -0.87888994E-03       0.34401495E-01        0.21166619E+06      0.29419841E-09      0.43298698E-12       0       0
 392   0.26165563E+02     -0.85269272E-03       0.32669913E-01        0.21157675E+06      0.25937482E-09      0.55511151E-12       0       0
 394   0.26299061E+02     -0.82754045E-03       0.30989680E-01        0.21148731E+06      0.80259235E-09      0.10547119E-11       0       0
 396   0.26432559E+02     -0.80336895E-03       0.29358770E-01        0.21142023E+06      0.18687221E-08      0.11324275E-11       0       0
 398   0.26566056E+02     -0.78011392E-03       0.27775287E-01        0.21133078E+06      0.17901660E-09      0.51070259E-12       0       0
 400   0.26699554E+02     -0.75771000E-03       0.26237463E-01        0.21126370E+06      0.35475897E-09      0.57731597E-12       0       0
 402   0.26833052E+02     -0.73608877E-03       0.24743665E-01        0.21117426E+06      0.92075651E-09      0.64392935E-12       0       0
 404   0.26966550E+02     -0.71517482E-03       0.23292401E-01        0.21108482E+06      0.12439534E-09      0.91038288E-12       0       0
 406   0.27100048E+02     -0.69486859E-03       0.21882358E-01        0.21101774E+06      0.61992080E-09      0.97699626E-12       0       0
 408   0.27233545E+02     -0.67504790E-03       0.20512441E-01        0.21092829E+06      0.15693458E-08      0.59952043E-12       0       0
 410   0.27367043E+02     -0.65569604E-03       0.19181697E-01        0.21083885E+06      0.55623830E-09      0.73274720E-12       0       0
 412   0.27500541E+02     -0.63681662E-03       0.17889185E-01        0.21074941E+06      0.78035805E-09      0.88817842E-12       0       0
 414   0.27634039E+02     -0.61841433E-03       0.16633954E-01        0.21068232E+06      0.40133425E-09      0.10658141E-11       0       0
